,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
838,2023-07,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.8
839,2023-10,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.5
840,2021-04,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.0
841,2021-07,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.3
842,2021-10,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.1
843,2022-01,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.0
844,2022-04,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.7
845,2022-07,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.2
846,2022-10,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.2
847,2023-04,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.3
848,2023-07,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.4
849,2023-10,Manitoba,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.6
850,2021-04,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.0
851,2021-07,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.4
852,2021-10,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.8
853,2022-01,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,23.8
854,2022-04,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.5
855,2022-07,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,20.1
856,2022-10,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.0
857,2023-04,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
858,2023-07,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.3
859,2023-10,Manitoba,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.1
860,2021-04,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.0
861,2021-07,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.3
862,2021-10,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.1
863,2022-01,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.2
864,2022-04,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.8
865,2022-07,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,63.7
866,2022-10,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.8
867,2023-04,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.2
868,2023-07,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.3
869,2023-10,Manitoba,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.3
870,2021-04,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,32.1
871,2021-07,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.3
872,2021-10,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
873,2022-01,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.2
874,2022-04,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,15.5
875,2022-07,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.2
876,2022-10,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,24.3
877,2023-04,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.9
878,2023-07,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.2
879,2023-10,Manitoba,Women,Life satisfaction rating between 0 and 5,Percentage of persons,27.1
880,2021-04,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.8
881,2021-07,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.1
882,2021-10,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.5
883,2022-01,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.8
884,2022-04,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.8
885,2022-07,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
886,2022-10,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.2
887,2023-04,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.1
888,2023-07,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.5
889,2023-10,Manitoba,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.1
890,2021-04,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,38.2
891,2021-07,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.6
892,2021-10,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.5
893,2022-01,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
894,2022-04,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.7
895,2022-07,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.0
896,2022-10,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.5
897,2023-04,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.9
898,2023-07,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.3
899,2023-10,Manitoba,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.8
900,2021-04,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.2
901,2021-07,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.3
902,2021-10,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.2
903,2022-01,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.4
904,2022-04,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.6
905,2022-07,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.0
906,2022-10,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.0
907,2023-04,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.9
908,2023-07,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.9
909,2023-10,Saskatchewan,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.1
910,2021-04,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,35.1
911,2021-07,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.2
912,2021-10,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.8
913,2022-01,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.4
914,2022-04,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.9
915,2022-07,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.1
916,2022-10,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.0
917,2023-04,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.5
918,2023-07,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.7
919,2023-10,Saskatchewan,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,33.2
920,2021-04,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,43.7
921,2021-07,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.6
922,2021-10,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.9
923,2022-01,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.2
924,2022-04,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.5
925,2022-07,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.9
926,2022-10,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.0
927,2023-04,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.6
928,2023-07,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.4
929,2023-10,Saskatchewan,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.7
930,2021-04,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.5
931,2021-07,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,12.1
932,2021-10,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.0
933,2022-01,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,14.8
934,2022-04,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,11.3
935,2022-07,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.0
936,2022-10,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.9
937,2023-04,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.6
938,2023-07,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.7
939,2023-10,Saskatchewan,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.3
940,2021-04,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,35.9
941,2021-07,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.3
942,2021-10,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.2
943,2022-01,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.8
944,2022-04,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.9
945,2022-07,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.4
946,2022-10,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.9
947,2023-04,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,32.9
948,2023-07,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.0
949,2023-10,Saskatchewan,Men,Life satisfaction rating of 6 or 7,Percentage of persons,34.9
950,2021-04,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.7
951,2021-07,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.5
952,2021-10,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.8
953,2022-01,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.4
954,2022-04,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.9
955,2022-07,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.7
956,2022-10,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.2
957,2023-04,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.4
958,2023-07,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.2
959,2023-10,Saskatchewan,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,43.8
960,2021-04,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.9
961,2021-07,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.4
962,2021-10,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.5
963,2022-01,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.8
964,2022-04,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.1
965,2022-07,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.9
966,2022-10,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.1
967,2023-04,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.1
968,2023-07,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.0
969,2023-10,Saskatchewan,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.9
970,2021-04,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.4
971,2021-07,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.1
972,2021-10,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.5
973,2022-01,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.0
974,2022-04,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.9
975,2022-07,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.0
976,2022-10,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,32.1
977,2023-04,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.0
978,2023-07,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.3
979,2023-10,Saskatchewan,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
980,2021-04,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.7
981,2021-07,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.5
982,2021-10,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.1
983,2022-01,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.1
984,2022-04,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.0
985,2022-07,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.1
986,2022-10,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.8
987,2023-04,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.8
988,2023-07,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.7
989,2023-10,Saskatchewan,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.6
990,2021-04,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,32.1
991,2021-07,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.5
992,2021-10,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.9
993,2022-01,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.6
994,2022-04,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.5
995,2022-07,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.4
996,2022-10,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,25.1
997,2023-04,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.2
998,2023-07,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.1
999,2023-10,Alberta,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,26.4
1000,2021-04,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.0
1001,2021-07,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.9
1002,2021-10,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.8
1003,2022-01,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.3
1004,2022-04,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
1005,2022-07,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.3
1006,2022-10,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.6
1007,2023-04,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.5
1008,2023-07,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.2
1009,2023-10,Alberta,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.2
1010,2021-04,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,37.9
1011,2021-07,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.6
1012,2021-10,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.3
1013,2022-01,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.2
1014,2022-04,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.1
1015,2022-07,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.3
1016,2022-10,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.3
1017,2023-04,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.2
1018,2023-07,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.7
1019,2023-10,Alberta,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.4
1020,2021-04,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,28.2
1021,2021-07,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.4
1022,2021-10,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.7
1023,2022-01,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.8
1024,2022-04,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.9
1025,2022-07,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.4
1026,2022-10,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.7
1027,2023-04,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.8
1028,2023-07,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.7
1029,2023-10,Alberta,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.7
1030,2021-04,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,32.0
1031,2021-07,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.9
1032,2021-10,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.7
1033,2022-01,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.5
1034,2022-04,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.7
1035,2022-07,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.5
1036,2022-10,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.9
1037,2023-04,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
1038,2023-07,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.2
1039,2023-10,Alberta,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.8
1040,2021-04,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,39.8
1041,2021-07,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.7
1042,2021-10,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
1043,2022-01,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.7
1044,2022-04,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.4
1045,2022-07,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.1
1046,2022-10,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.5
1047,2023-04,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.7
1048,2023-07,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.1
1049,2023-10,Alberta,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.5
1050,2021-04,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,35.9
1051,2021-07,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.5
1052,2021-10,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,27.1
1053,2022-01,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.3
1054,2022-04,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.1
1055,2022-07,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.5
1056,2022-10,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,26.4
1057,2023-04,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,24.7
1058,2023-07,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.5
1059,2023-10,Alberta,Women,Life satisfaction rating between 0 and 5,Percentage of persons,27.0
1060,2021-04,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.1
1061,2021-07,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
1062,2021-10,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.0
1063,2022-01,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.1
1064,2022-04,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.1
1065,2022-07,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,32.0
1066,2022-10,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,33.3
1067,2023-04,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
1068,2023-07,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.2
1069,2023-10,Alberta,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.6
1070,2021-04,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,36.0
1071,2021-07,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.6
1072,2021-10,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.9
1073,2022-01,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.6
1074,2022-04,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.8
1075,2022-07,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.5
1076,2022-10,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,40.2
1077,2023-04,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.8
1078,2023-07,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.3
1079,2023-10,Alberta,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.4
1080,2021-04,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,26.1
1081,2021-07,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.6
1082,2021-10,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.9
1083,2022-01,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.6
1084,2022-04,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.6
1085,2022-07,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.7
1086,2022-10,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,27.7
1087,2023-04,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.9
1088,2023-07,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.9
1089,2023-10,British Columbia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,25.8
1090,2021-04,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.1
1091,2021-07,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.4
1092,2021-10,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.3
1093,2022-01,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.9
1094,2022-04,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,34.9
1095,2022-07,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.0
1096,2022-10,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.2
1097,2023-04,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.1
1098,2023-07,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.5
1099,2023-10,British Columbia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.5
1100,2021-04,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.8
1101,2021-07,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.0
1102,2021-10,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.7
1103,2022-01,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.5
1104,2022-04,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.4
1105,2022-07,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.2
1106,2022-10,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.1
1107,2023-04,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.9
1108,2023-07,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.6
1109,2023-10,British Columbia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,43.7
1110,2021-04,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.0
1111,2021-07,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.6
1112,2021-10,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.2
1113,2022-01,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
1114,2022-04,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.6
1115,2022-07,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.7
1116,2022-10,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.8
1117,2023-04,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.8
1118,2023-07,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.2
1119,2023-10,British Columbia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,27.6
1120,2021-04,British Columbia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.5
1121,2021-07,British Columbia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.0
1122,2021-10,British Columbia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.3
1123,2022-01,British Columbia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
1124,2022-04,British Columbia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,36.6
